Name,Wiki Name,Party,Wiki search,Wiki Output
Abdullah  Dr. Farooq,Dr. Farooq Abdullah,Jammu and Kashmir National Conference,Dr. Farooq Abdullah Jammu and Kashmir National Conference,"Farooq Abdullah (born 21 October 1937) is an Indian politician and President of Jammu & Kashmir National Conference. He has served as the Chief Minister of Jammu and Kashmir  on several occasions since 1982, and as the union minister for New and Renewable Energy between 2009 and 2014. He is the son of the 1st elected Chief Minister of Jammu and Kashmir Sheikh Abdullah, and father of former Chief Minister of Jammu and Kashmir Omar Abdullah."
Abdullah  Shri Omar,Omar Abdullah,Jammu and Kashmir National Conference,Omar Abdullah Jammu and Kashmir National Conference,"Omar Abdullah (pronunciation ; born 10 March 1970) is an Indian politician and former Chief Minister of the erstwhile state of Jammu and Kashmir.
He became the 11th and the youngest Chief Minister of the State of Jammu and Kashmir, after forming a government in coalition with the Congress party, on 5 January 2009.He was the last Leader of opposition in the erstwhile state Jammu and Kashmir Legislative Assembly (Member of the Legislative Assembly from Beerwah constituency of Budgam district) before the assembly was dissolved in 2018 and the state of Jammu & Kashmir ceased to exist as on 6 August 2019. On 6 February 2020 the Government of India booked him under the Public Safety Act (PSA) which was revoked on 24 March 2020.

He was a member of 14th Lok Sabha, representing Srinagar constituency of Jammu and Kashmir, India. He was the Union Minister of State for External affairs in Atal Bihari Vajpayee's NDA government, from 23 July 2001 to 23 December 2002. He resigned from NDA government in October 2002 to concentrate on party work.
Omar joined politics in 1998, as a Lok Sabha member, a feat he repeated in subsequent three elections and also remained the Union minister; he took on the mantle of National Conference from his father in 2002, though  lost his own seat of Ganderbal during the 2002 state assembly elections, and so did his party, the political mandate; four years later, he contested once again from the same seat and won in the 2008 Kashmir State Elections.

"
Abdullakutty  Shri A.P.,A.P. Abdullakutty,Communist Party of India (Marxist),A.P. Abdullakutty Communist Party of India (Marxist),Aruvanpalli Puthiyapurakkal Abdullakkutty (born 8 May 1967) is an Indian politician. He was elected as the National Vice President of the Bharatiya Janata Party (BJP) on 26 September 2020. He has also served as the BJP Vice President of Kerala state. He is also a former member of Lok Sabha from Kannur and ex-MLA from Kannur constituency of Kerala state.
Abdur Rahman  Maulana,Maulana Abdur Rahman,Congress,Maulana Abdur Rahman Congress,"Maulana Abdur Rahman was member of the 2nd Lok Sabha. He represented the Jammu constituency of Jammu and Kashmir and was a member of the Congress (I) political party. He was in office from April 1957 to March 1962.

"
Abdur Rashid  Shri Bakshi,Bakshi Abdur Rashid,Congress,Bakshi Abdur Rashid Congress,"Bakshi Abdur Rashid (1 January 1923 – August 1977) was an Indian politician who was a member of the 2nd Lok Sabha & 3rd Lok Sabha of India. He represented the Srinagar constituency of Jammu & Kashmir and was a member of the Congress (I) political party.In the 3rd Lok Sabha, he was a Lok Sabha candidate, nominated by the President of India.

"
Abdus Sattar  Shri,Abdus Sattar,Congress,Abdus Sattar Congress,"Abdus Sattar (1 March 1906 – 5 October 1985) was a Bangladeshi statesman. A leader of the Bangladesh Nationalist Party (BNP), he served as the President of Bangladesh from 1981 to 1982, and earlier as the Vice President of Bangladesh. A jurist by profession, Sattar held numerous constitutional and political offices in British India, East Pakistan and Bangladesh. He was a cabinet minister, supreme court judge, and chief election commissioner.
Sattar was one of the few executive presidents in the country's history. Beset by health problems and old age, his short lived presidency was marked by growing political turmoil and interference from the military. Sattar was overthrown in the 1982 Bangladesh coup d'état."
Abraham  Shri K.M.,K.M. Abraham,Communist Party(Marxist),K.M. Abraham Communist Party(Marxist),"K. M. Abraham (27 March 1919 – 5 September 2006) was a member of the 4th Lok Sabha of India. He represented the Kottayam constituency of Kerala and was a member of the Communist Party of India (Marxist) political party. He was in office from March 1967 to December 1970.

"
Achal Singh  Seth,Seth Achal Singh,Congress,Seth Achal Singh Congress,"Seth Achal Singh (born 5 May 1895 – 1971) was a prominent Indian independence activist and member of the 1st, 2nd, 3rd, 4th, and 5th Lok Sabha of India. He represented the Agra Lok Sabha constituency of Uttar Pradesh as a politician of the Indian National Congress.

"
Achalu  Shri Sunkam,Sunkam Achalu,Peoples' Democratic Front,Sunkam Achalu Peoples' Democratic Front,Sunkam Achalu (3 March 1924 – 9 August 1983) was an Indian politician. He represented Nalgonda in the Lok Sabha (lower house of the Parliament of India) 1952–1957.
Achar  Shri K.R.,K.R. Achar,Congress,K.R. Achar Congress,"Mangalore Lok Sabha constituency was one of the Lok Sabha constituencies in Karnataka state in southern India. With the implementation of the delimitation of parliamentary constituencies in 2008, based on the recommendations of the Delimitation Commission of India constituted in 2002, this constituency ceased to exist."
Acharia  Shri Basudeb,Basudeb Acharia,Communist Party of India (Marxist),Basudeb Acharia Communist Party of India (Marxist),"Basudeb Acharia (born 11 July 1942) is an Indian politician and a leader of the Communist Party of India (Marxist) political party. His ancestors were originally from Present-day Tamil Nadu, which settled in Bengal in 16th Century. He considers himself to be a Bengali.

"
Acharya  Shri Prasanna,Prasanna Acharya,Biju Janata Dal,Prasanna Acharya Biju Janata Dal,"Prasanna Acharya (born 8 August 1949) is a politician from Odisha, India who sits in the Rajya Sabha, the upper house of the Indian parliament. He is a member of the Biju Janata Dal (BJD) political party.

"
Achint Ram  Lala,Lala Achint Ram,Congress,Lala Achint Ram Congress,"Lala Achint Ram (19 August 1898 – 1961) was an Indian freedom fighter, Gandhian and a member of the Indian National Congress party.
He was one of the first three members of Servants of the People Society, established by Lala Lajpat Rai in Lahore in 1921. During the Indian independence movement, he was imprisoned for extended periods, including 1930–32, 1939, 1940 and 1942–45 for his participation in the Quit India Movement. Post-partition, he shifted to Delhi, and also remained a member of the Constituent Assembly of India. He won his 1st Lok Sabha elections from the Hissar (Lok Sabha constituency) in Punjab in 1952 and the second time in 1957 from Patiala (Lok Sabha constituency). Through the 1950s, along with his wife, he was active in Bhoodan movement of Vinoba Bhave."
Achuthan  Shri K.T.,K.T. Achuthan,Congress,K.T. Achuthan Congress,K. T Achuthan (Malayalam: കെ.ടി. അച്യുതൻ) (April 1911 – 8 January 1999) was an Indian politician from Kerala and a leader in the Indian National Congress. He served as Minister for Transport & Labour in both R. Sankar ministry and Pattom Thanu Pillai ministry.
Achuthan  Shri R.,R. Achuthan,Congress,R. Achuthan Congress,Thattumpurath Achuthan (transl. Achuthan on the loft) is a 2018 Indian Malayalam-language comedy film directed by Lal Jose and scripted by M. Sindhuraj. The film stars Kunchacko Boban  in the lead role. It also features debutante Sravana and Thejus Jyothi. Roby Raj was the cinematographer and editing was done by Ranjan Abraham.
Adaikalaraj  Shri Lourdusamy,Lourdusamy Adaikalaraj,Tamil Manila Congress (Moopanar),Lourdusamy Adaikalaraj Tamil Manila Congress (Moopanar),"Central Bus Station, popularly known as Central Bus Stand, is one of the bus terminus of Trichy, other being the Chatram Bus Stand, located near Cantonment.

"
Adhalrao Patil  Shri Shivaji,Shivaji Adhalrao Patil,Shiv Sena,Shivaji Adhalrao Patil Shiv Sena,"Shivajirao Adhalarao Patil (Marathi: शिवाजीराव आढळराव पाटील) (born 8 May 1956) was a Member of Parliament in the Lok Sabha from Shirur and member of the Shiv Sena. Shivajirao Adhalarao Patil won the Shirur Lok Sabha seat by margin of 301,814 votes.
He was also a member of the 14th Lok Sabha and 15th Lok Sabha of India. He represents the Shirur constituency in Pune District of Maharashtra. He had also published his autobiography in Marathi titled ""Anahat"". He has been awarded with Sansad Ratna Award, Top performers of Indian Parliament in 2014 and 2016."
Adhi Sankar  Shri,Adhi Sankar,Dravida Munnetra Kazhagam,Adhi Sankar Dravida Munnetra Kazhagam,"Adhi Sankar is an Indian politician and former member of the Parliament of India from Kallakurichi Constituency. He represents the Dravida Munnetra Kazhagam party.

"
Adhikari  Shri Deepak (Dev),Deepak (Dev) Adhikari,All India Trinamool Congress,Deepak (Dev) Adhikari All India Trinamool Congress,"Dev (born Deepak Adhikari; 25 December 1982) is an Indian actor, producer, singer and film writer, known for his works in Bengali cinema, and more recently, a politician. He owns the production house Dev Entertainment Ventures Pvt. Ltd. He is one of the highest paid Bengali actors.
Born in Keshpur, he made his acting debut in the 2006 film Agnishapath. Dev faced flak after the film was released, and it turned out to be a critical and commercial flop. His starring role in I Love You opposite Payal Sarkar was his breakthrough. Directed by Ravi Kinnagi, the film was critically unsuccessful, but was commercially successful and was quick to resurrect his career. Despite the success, Dev didn't get any work for the next fourteen months.
He made a comeback on the silver screen with Premer Kahini, opposite Koel Mullick, his first with whom he went on to star with in numerous films. A remake of the Kannada hit Mungaru Male, the film was moderately successful. Dev got another breakthrough in Challenge which opened to critical and commercial success. He received the Anandalok Awards for Best Actor and Best Action Hero for his performance in the film. He continued to garner commercial success and wider attention through his successful films, including Le Chakka, Dui Prithibi, Paglu, Challenge 2, Khoka 420, Rangbaaz and Chander Pahar.
He had been a recipient of numerous awards, namely Tele Cine Awards, Kalakar Awards, Filmfare Awards East, Filmfare Awards East (2017) & NABC International Bangla Film Award 2017. His accomplishments have made him one of the highest paid and sought out actors of Bengali cinema. Though he has delivered some critically acclaimed performances, Dev is often trolled for his poor accent, average acting skills, his winning of the Mahanayak Samman from the Government of West Bengal.Dev had also been a mentor on the Bengali dance reality show Dance Bangla Dance, replacing Mithun Chakraborty. He is now also an honourable Member of Parliament of India from the Ghatal constituency, as a candidate from the party All India Trinamool Congress."
Adhikari  Shri Dibyendu,Dibyendu Adhikari,All India Trinamool Congress,Dibyendu Adhikari All India Trinamool Congress,"Dibyendu Adhikari (born 24 December 1976) is an Indian politician from the state of West Bengal in India. He has been elected to Lok Sabha from Tamluk in 2019 as a member of Trinamool Congress.
Dibyendu Adhikari's father Sisir Adhikari and elder brother Suvendu Adhikari have also been elected to Lok Sabha and West Bengal Vidhan Sabha over the years.Dibyendu was Member of Legislative Assembly (MLA) in West Bengal from Dakhin Kanthi constituency from 2009 to 2016. In 2016, he was elected to Lok Sabha from Tamluk parliamentary constituency of West Bengal on TMC ticket in a bye-election when the seat fell vacant due to the resignation of the sitting MP Suvendu Adhikari, who is Dibyendu Adhikari's elder brother. He is also councillor of Contai Municipality.

"
Adhikari  Shri Sisir Kumar,Sisir Kumar Adhikari,All India Trinamool Congress,Sisir Kumar Adhikari All India Trinamool Congress,"Sisir Kumar Adhikari (born 19 September 1941) is an Indian politician who represented Kanthi Lok Sabha constituency from 2009 till 2021.  He is a former Union Minister of State for Rural Development in the Manmohan Singh government.He (Sisir Adhikari) was the Member of Legislative Assembly from Kanthi Dakshin from 2001 to 2006 and Egra from 2006 to 2009. He was the Chairman of Contai Municipality for more than 25 years. Along with his son, Suvendu Adhikari, who was elected from Tamluk, he played a key role in the Nandigram anti-land acquisition stir.

"
Adichan  Shri P.C.,P.C. Adichan,Communist Party,P.C. Adichan Communist Party,#N/A
Adiyodi  Dr. K.G.,Dr. K.G. Adiyodi,Congress (I),Dr. K.G. Adiyodi Congress (I),"Kenoth Govindan Adiyodi (1937–2001) was an Indian zoologist, author, and administrator. He was a member of the Union Public Service Commission of India (UPSC) at the time of his death in 2001.Dr. K. G. Adiyodi’s scientific achievements include founding the International Society for Invertebrate Reproduction, launching the Society’s International Journal of Invertebrate Reproduction, and publishing a 12 volume, 18 book treatise titled Reproductive Biology of Invertebrates with his wife and former Rhodes Visiting Fellow, Dr. Rita G. Adiyodi.Dr. K.G. Adiyodi served as Vice Chancellor of Cochin University of Science and Technology and as Dean of Faculty of Science, University of Calicut."
Adsul  Shri Anandrao,Anandrao Adsul,Shiv Sena,Anandrao Adsul Shiv Sena,"Anandrao Vithoba Adsul (born 1 June 1947) was a member of the 16th Lok Sabha of India. He represented the Amravati constituency of Maharashtra and is a member of the Shiv Sena (SS) political party.
He had represented the Amravati constituency in 15th Lok Sabha and Buldhana constituency of Maharashtra  in the 14th Lok Sabha, 13th Lok Sabha and 11th Lok Sabha.He has been honored with Sansad Ratna Award in 2011, 2012 and 2013.

"
Adv. A. M. Ariff ,Adv. A. M. Ariff,Communist Party of India (Marxist),Adv. A. M. Ariff Communist Party of India (Marxist),"Shanimol Osman is an Indian politician from Kerala. Shanimol was elected as M.L.A to Kerala legislative assembly from Aroor on a by-election in 2019.She is the first woman leader from Kerala to become the secretary of All India Congress Committee  and is an LLB Degree holder.
She contested  from Alappuzha parliament constituency in 2019 election as Indian National Congress candidate and lost to Adv. A. M. Ariff of Communist Party of India by 9213 votes but in the assembly by-election 2019, she defeated the nearest rival candidate Manu C. Pulickal of the CPI (M) Party by a margin of 2,079 votes.Shanimol Osman is the only woman MLA of UDF in the 2016 Kerala Legislative Assembly.

"
Advani  Shri Lal Krishna,Lal Krishna Advani,Bharatiya Janata Party,Lal Krishna Advani Bharatiya Janata Party,"Lal Krishna Advani (lahl KRRISH-NUH ud-vah-nee; born 8 November 1927) is an Indian politician who served as the 7th Deputy Prime Minister of India from 2002 to 2004. Advani is one of the co-founders and a senior leader of the Bharatiya Janata Party. He is a longtime member of the Rashtriya Swayamsevak Sangh, a volunteer organisation. He also served as Minister of Home Affairs in the BJP-led National Democratic Alliance government from 1998 to 2004. He was the Leader of the Opposition in the 10th Lok Sabha and 14th Lok Sabha and also the longest serving person of this post. He was the National Democratic Alliance's Prime Ministerial candidate in the 1989, 1991, and 2009 general elections, failing to win a majority on all three occasions. He is currently amongst the few living individuals who have witnessed the Indian freedom struggle.
Advani began his political career as a volunteer of Rashtriya Swayamsevak Sangh, a volunteer organisation. In
2015 he was awarded the Padma Vibhushan, India's second highest civilian honour. He has held numerous positions in his career."
Afzalpurkar  Shri Dharamao Sharanappa,Dharamao Sharanappa Afzalpurkar,Congress,Dharamao Sharanappa Afzalpurkar Congress,#N/A
Aga  Shri Syed Ahmed,Syed Ahmed Aga,Congress,Syed Ahmed Aga Congress,"Syed Ahmed Aga (1910-1984) was an Indian politician and the member of parliament, who was elected during the fourth lok sabha and fifth general elections of India. He was representing Baramulla parliamentary constituency from 1967 to 1970, and then re-elected in May 1970. He was affiliated with Indian National Congress political party."
Agadi  Shri Sangappa A.,Sangappa A. Agadi,Congress,Sangappa A. Agadi Congress,#N/A
Agarwal  Shri Dhirendra,Dhirendra Agarwal,Rashtriya Janata Dal,Dhirendra Agarwal Rashtriya Janata Dal,"Dhirendra Agarwal (born 2 August 1955) is a member of the 11th, 12th and  14th Lok Sabha of India . He represents the Chatra constituency of Jharkhand and currently is a member of the Rashtriya Janata Dal (RJD) political party. He had won Lok Sabha election in 11th Lok Sabha  & 12th Lok Sabha as a member of Bhartiya Janta Party (BJP).

"
Agarwal  Shri Hoti Lal,Hoti Lal Agarwal,Congress,Hoti Lal Agarwal Congress,#N/A
Agarwal  Shri Jai Prakash,Jai Prakash Agarwal,Indian National Congress,Jai Prakash Agarwal Indian National Congress,"Shri Jai Parkash Aggarwal (born 11 November 1944) is a politician from the Indian National Congress party and was a Member of the Parliament of India representing North East Delhi in Lok Sabha, the lower house of the Indian Parliament. In the 2009 Indian general election, he defeated the Bharatiya Janata Party candidate by a margin of over 200,000 votes. In the 2014 Indian general election, he lost to Bhartiya Janta Party candidate Manoj Tiwari by a margin of about 380,000. He came in a distant third in the results."
Agarwal  Shri Satish Chandra,Satish Chandra Agarwal,Bharatiya Janata Party,Satish Chandra Agarwal Bharatiya Janata Party,"Satish Chandra Agarwal (1927 – 10 September 1997) was a leader of Bharatiya Janata Party and a member of Sixth and Seventh Lok Sabha representing Jaipur Parliamentary Constituency of Rajasthan, India  during 1977–84. Later he was elected to Rajya Sabha. Earlier, he was a Member of Rajasthan Legislative Assembly during 1957–72.
He was arrested like many political opponents during the Emergency during 1975–77, imposed by Indira Gandhi. 
An active social and political worker, and an eminent parliamentarian, Agarwal served as Union Minister of State for Finance in Government of India during 1977–79.  He was a Member of Public Accounts Committee in 1980-81 and later served as its chairman during 1981–83.
Satish Agarwal was a member of Indian Delegation to the Commonwealth Parliamentary Association Conference at Kuala Lumpur, Malaysia in 1971 and Colombo Plan Conference held in Kathmandu 1977, Washington, 1978 and London, 1979.  He was a member of the Indian Delegation to Geneva   in   1984  and  also  participated  in  various  other  international conferences.
Agarwal died  on  10 September 1997  at  Jaipur, Rajasthan at the age of 69 years"
Agarwal  Shri Shriman Narayan Dharam Narayan,man Narayan Dharam Narayan Agarwal,Congress,man Narayan Dharam Narayan Agarwal Congress,#N/A
Agarwala  Shri Kamala Prasad,Kamala Prasad Agarwala,Congress,Kamala Prasad Agarwala Congress,"Kamala Prasad Agarwala was an Indian politician. He was elected to the Lok Sabha, the lower house of the Parliament of India as a member of the Indian National Congress."
Agarwala  Shri Virendra,Virendra Agarwala,Jan Sangh,Virendra Agarwala Jan Sangh,#N/A
Agnihotri  Shri Rajendra,Rajendra Agnihotri,Bharatiya Janata Party,Rajendra Agnihotri Bharatiya Janata Party,"Rajendra Agnihotri (1938- 2008) was a leader of Bharatiya Janata Party. He was member of the Ninth, Tenth, Eleventh and Twelfth Lok Sabha  representing the Jhansi of Uttar Pradesh. He also served as a member of the Uttar Pradesh Vidhan Sabha from 1980 to 1985. He died on 5 June 2008."
Agrawal  Shri Manakbhai,Manakbhai Agrawal,Congress,Manakbhai Agrawal Congress,#N/A
Agrawal  Shri Mukund Lal,Mukund Lal Agrawal,Congress,Mukund Lal Agrawal Congress,"Mukund Lal Agrawal (born 16 January 1902 - date of death unknown) was Member of Parliament in the first Lok Sabha from Pilibhit Constituency elected in 1952 as an Indian National Congress representative. His father was Kanhai Lal, a prominent sahukar and social worker in the city of Pilibhit.
Mukund Lal Agrawal attended High School and Intermediate at Government High School, Pilibhit, which is currently known as Drumand Boys' Government Intermediate College. After passing from there, he attended B.Sc. course from Bareilly College, in Bareilly and  then Joined Agra College, Agra for L.L.B., He married Ram Rakhi Devi in 1917 at the age of 15 and had two sons with her.
Agrawal was an advocate and chairman of Pilibhit District Rural Development Association from 1938 till 1940. Apart from this he was also President of Managing Committee of the Rama Intermediate College, Pilibhit.
He was a member of the Indian National Congress (INC) and was imprisoned for participating in its activities in 1941 and 1942–43. He was also elected as member of Uttar Pradesh Assembly in 1941–46 under the British Raj.
In the 1952 general election, Agrawal was elected as the first Member of Parliament from Pilibhit constituency, gaining 43.11% of the vote as an INC candidate and defeating his rival contender from the Socialist Party, who gained 22.58% of the vote."
Agrawal  Shri Rajendra,Rajendra Agrawal,Bharatiya Janata Party,Rajendra Agrawal Bharatiya Janata Party,#N/A
Agrawal  Shri Shrikrishna,krishna Agrawal,Congress,krishna Agrawal Congress,"Protected health information (PHI) under the U.S. law is any information about health status, provision of health care, or payment for health care that is created or collected by a Covered Entity (or a Business Associate of a Covered Entity), and can be linked to a specific individual. This is interpreted rather broadly and includes any part of a patient's medical record or payment history.Instead of being anonymized, PHI is often sought out in datasets for de-identification before researchers share the dataset publicly. Researchers remove individually identifiable PHI from a dataset to preserve privacy for research participants.
There are many forms of PHI, with the most common being physical storage in the form of paper-based personal health records (PHR). Other types of PHI include electronic health records, wearable technology, and mobile applications. In recent years, there has been a growing number of concerns regarding the safety and privacy of PHI.

"
Ahamed  Shri Moinul Hassan,Moinul Hassan Ahamed,Communist Party of India (Marxist),Moinul Hassan Ahamed Communist Party of India (Marxist),#N/A
Aher  Dr. Daulatrao,Dr. Daulatrao Aher,Bharatiya Janata Party,Dr. Daulatrao Aher Bharatiya Janata Party,Dr. Daulatrao Aher (1 November 1943-19 January 2016) was an Indian politician who was a member of the 9th Lok Sabha. He represented the Nashik constituency of Maharashtra and was a member of the Bharatiya Janata Party (BJP) political party.
Ahir  Shri Hansraj Gangaram,Hansraj Gangaram Ahir,Bharatiya Janata Party,Hansraj Gangaram Ahir Bharatiya Janata Party,"Hansraj Ahir is a former member of the 16th Lok Sabha in India. He was Minister of State Home Affairs. He was member of 11th Lok Sabha, 14th Lok Sabha, 15th Lok Sabha. He is famous for exposing Coal Mining Scam specially pouni-3 in WCL.
Ahir frequently requested details of coal mining to Prime Minister of India office but he didn't succeed. Finally he (along with Prakash Javadekar) requested Central Vigilance Commission (CVC) for an inquiry. Based on this, CVC ordered a CBI inquiry.He has been  honoured with Sansad Ratna Award in 2011, 2012, 2013 and 2014."
Ahire  Shri Dhanaji Sitaram,Dhanaji Sitaram Ahire,Indian National Congress,Dhanaji Sitaram Ahire Indian National Congress,"Dhanaji Sitaram Ahire ( D.S.Ahire.)(born 4 May 1953) is a member of the 13th Maharashtra Legislative Assembly. He represents the Sakri Assembly Constituency. He belongs to the Indian National Congress. D.S.Ahire had represented Sakri earlier in 2004. D.S.Ahire was also member of the 12th Lok Sabha, representing the Dhule (ST) constituency. He was Dy. Collector in revenue Department in Maharashtra Govt. He is from Kudashi Tal.Sakri.Dist.Dhule. His wife is Sarpanch of that Kudashi village (2018). He has 1 Daughter and 1 Son. Both are Engineer."
Ahirwar  Shri Anand,Anand Ahirwar,Congress (I),Anand Ahirwar Congress (I),Anand Ahirwar (born 1 July 1964) is an Indian politician from the Indian National Congress party.
Ahirwar  Shri Nathu Ram,Nathu Ram Ahirwar,Congress,Nathu Ram Ahirwar Congress,"Nathu Ram Ahirwar (1 July 1923 – 5 December 2013) was an Indian politician, social leader, Former Education minister and educationist from the village of Bhamoura Khas in Tikamgarh district of Madhya Pradesh, India. Former minister of Madhya Pradesh and senior Congress leader died at his ancestral village Bhamoura Khas here following brief illness. Ahirwar, who had been ailing for quite some time, died on 5 December 2013 around 18:00, his family said.He has served as a Member of Madhya Pradesh Legislative Assembly for years 1957-62 and was also elected as a Member of Fourth Lok Sabha - (1967–70) and Fifth Lok Sabha - (1971-1977) as a member of Congress Party from Tikamgarh constituency, a seat reserved for Scheduled Castes. He has also served as Minister of State for Rehabilitation and Cooperation and Education Minister. He was elected as Member of Madhya Pradesh Legislative Assembly from Khargapur constituency in 1977 as representative of Janata Party and in 1980 as member of Congress Party. After 1997, he left Congress and joined Bahujan Samaj Party.He is noted for his activities for betterment of scheduled castes and also an educationist, who served as member of Secondary Education Committee, Madhya Pradesh (1958–63). He has also founded a Higher Secondary School at Teharka Tikamgarh and also is Vice-President, Degree College of Newari near Tikamgarh."
Ahirwar  Shri Ram Prasad,Ram Prasad Ahirwar,Bharatiya Janata Party,Ram Prasad Ahirwar Bharatiya Janata Party,This is a list of members of the 7th Lok Sabha arranged by state or territory represented. These members of the lower house of the Indian Parliament were elected to the 7th Lok Sabha (1980 to 1984) at the 1980 Indian general election.
